Time,v1,Lat1,Lon1,x1,y1,v2,Lat2,Lon2,x2,y2,v3,Lat3,Lon3,x3,y3,IVS1,IVS2,Driver1,Driver2,Driver3,segment
57624.4,27.40907970056302,0.7837748824870931,0.1465015057925787,11800.901316128877,-9860.589868157977,26.74546100818993,0.7837741133062796,0.1464961426679028,11776.9996216363,-9860.896964520089,25.6519975717773,0.7837728467628902,0.1464895310352644,11747.064766828224,-9859.78636773945,20.275821691197848,26.50048673094569,Human,ACC,ACC,1
57624.5,27.49088218771946,0.7837749749999641,0.1465020999997676,11803.652776694968,-9860.614638038254,26.66754867915877,0.783774205191465,0.146496700314067,11779.589957763408,-9860.889804411461,25.46447836259981,0.7837729282719206,0.1464900858665472,11749.627736813847,-9859.840512499575,20.437305646294337,26.53016887958112,Human,ACC,ACC,1
57624.6,27.574150080568018,0.7837750677186948,0.1465026955605183,11806.411088490502,-9860.639782289865,26.586105859600764,0.7837742968666848,0.1464972550819233,11782.16729016894,-9860.881027683281,25.28363064409676,0.7837730094451002,0.1464906367779192,11752.172940638662,-9859.892784679827,20.618705984427933,26.564715681807986,Human,ACC,ACC,1
57624.7,27.658731336932025,0.7837751608876106,0.1465032925208632,11809.176711677905,-9860.663838983653,26.503975369898324,0.7837743884610381,0.146497808265516,11784.73752087103,-9860.87115392154,25.110217012191143,0.7837730903631247,0.1464911838497495,11754.700849053113,-9859.942766702412,20.81455792405489,26.609510270469137,Human,ACC,ACC,1
57624.8,27.744785795612845,0.7837752548627026,0.1465038909706598,11811.950318629266,-9860.684632793094,26.42400003043393,0.7837744801036236,0.1464983611588893,11787.3065518878,-9860.860702712209,24.945000062805956,0.7837731711066891,0.146491727162407,11757.211932807666,-9859.990040989529,21.01958795788623,26.669927126795567,Human,ACC,ACC,1
57624.9,27.832473295411877,0.7837753499999626,0.1465044909997653,11814.732581716677,-9860.699988391656,26.34863560606504,0.7837745718769453,0.1464989147996562,11789.879084004848,-9860.850218696709,24.788869548962307,0.7837732517317144,0.1464922668356988,11759.706800881326,-9860.034382853735,21.229712294650334,26.75000257583577,Human,ACC,ACC,1
57625.0,27.921778754089928,0.7837754465102169,0.1465050926869953,11817.52396843951,-9860.708636056981,26.278789637736143,0.7837746636771263,0.1464994691997028,11792.455013071958,-9860.840346738285,24.64322385266956,0.7837733321950281,0.1464928031471823,11762.186615167933,-9860.076339169884,21.445454168296408,26.84844802648589,Human,ACC,ACC,1
57625.1,28.01198740442582,0.7837755440236331,0.1465056960669995,11820.324126805335,-9860.712928487645,26.214982609960018,0.7837747553536951,0.1465000241144834,11795.033033703554,-9860.831756755684,24.50958851333305,0.7837734124286836,0.1464933364138532,11764.652675790207,-9860.116649703608,21.667783328115668,26.962646402963543,Human,ACC,ACC,1
57625.2,28.102209557747845,0.7837756420252141,0.1465063011633859,11823.132499948548,-9860.716123988524,26.1577350072495,0.7837748467561797,0.1465005792994523,11797.611840514075,-9860.825118667653,24.38948907035817,0.7837734923647339,0.1464938669527069,11767.106282870871,-9860.156054220564,21.897488242791034,27.08998307289627,Human,ACC,ACC,1
57625.3,28.191555525384327,0.7837757399999619,0.1465069079997626,11825.948531003529,-9860.721480864491,26.107567314117365,0.7837749377341086,0.1465011345100638,11800.190128117942,-9860.821102392922,24.284451063150225,0.7837735719352329,0.1464943950807388,11769.548736532633,-9860.195292486393,22.135361857254143,27.22784570273138,Human,ACC,ACC,1
57625.4,28.27945651383882,0.7837758376152116,0.1465075166119629,11828.771957106414,-9860.731079024417,26.06500001507645,0.7837750281370095,0.1465016895017721,11802.766591129584,-9860.820377850247,24.196000031114583,0.7837736510722338,0.1464949211149444,11771.981336898223,-9860.235104266741,22.38247191786024,27.37362409055077,Human,ACC,ACC,1
57625.5,28.36662731182004,0.783775935267629,0.1465081270847221,11831.603691401708,-9860.742284787599,26.030350503737434,0.7837751178838647,0.1465022441117297,11805.340388180017,-9860.823272943766,24.12511961361444,0.7837737297428827,0.1464954453694892,11774.405421926938,-9860.276009255807,22.640518330045,27.52514208107317,Human,ACC,ACC,1
57625.6,28.45410360396405,0.7837760335362126,0.1465087395150008,11834.444941036365,-9860.751286074568,26.00312380915056,0.7837752071714705,0.1465027985038823,11807.91253396873,-9860.82874751763,24.070625847303987,0.7837738080546965,0.1464959681472188,11776.822480924615,-9860.317646860973,22.909641485228747,27.68195434263286,Human,ACC,ACC,1
57625.7,28.542921074906968,0.7837761329999609,0.1465093539997595,11837.296913157325,-9860.754270805857,25.98262186898791,0.7837752962660778,0.1465033529238744,11810.484507212883,-9860.835419400584,24.03079286752511,0.7837738861502858,0.1464964897481486,11779.234041033778,-9860.359436417652,23.189526623677484,27.84405087910531,Human,ACC,ACC,1
57625.8,28.63360636852605,0.7837762340026049,0.1465099706081529,11840.160351327924,-9860.749035599023,25.968146620921587,0.7837753854339367,0.1465039076173499,11813.057786629644,-9860.841906421385,24.003894809619705,0.7837739641722598,0.1464970104722943,11781.64162939694,-9860.400797261254,23.479431411822468,28.01142462624206,Human,ACC,ACC,1
57625.9,28.724649963276967,0.7837763359468067,0.1465105892981108,11843.034144774865,-9860.739811867248,25.95900000262367,0.7837754749412978,0.1465044628299532,11815.633850936169,-9860.846826408775,23.988205808929663,0.7837740422632289,0.1464975306196713,11784.04677315662,-9860.4411487272,23.77687499497549,28.18407115379636,Human,ACC,ACC,1
